WKT,id,universidad,nomuniversidad_c,nomuniversidad_v,centro,nomcentro_c,nomcentro_v,campus,nomcampus_c,nomcampus_v,posicion_x,posicion_y,grado,nomgrado_c,nomgrado_v,area,descarea_c,descarea_v,codprovincia_orig,codprovincia,codmunicipio_orig,codmunicipio,municipio,provincia,municipio_c,municipio_v,presencialidad_c,presencialidad_v,url_grado,url_grado_v,naturaleza_c,doblegrado_c,naturaleza_v,doblegrado_v,nomespecialidad_c,nomespecialidad_v,nomitinerario_c,nomitinerario_v,tipo,nomtipo_c,nomtipo_v
"POINT (717130 4251418)","1","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00101",Alicante,Alacant,"717130","4251418","4310484",Máster Universitario en Investigación Educativa por la UA,Màster Universitari en Investigació Educativa per la UA,"3",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/masteres/investigacion-educativa/,https://web.ua.es/va/masteres/investigacion-educativa/,Pública,No,Pública,No,,,,,MU,Universitario,Universitari
"POINT (717130 4251418)","2","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00101",Alicante,Alacant,"717130","4251418","2502199",Grado en Ciencias de la Actividad Física y del Deporte por la Universidad de Alicante,Grau en Ciències de l'Activitat Física i l'Esport per la Universitat d'Alacant,"4",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-ciencias-de-la-actividad-fisica-y-del-deporte/,https://web.ua.es/va/grados/grado-en-ciencias-de-la-actividad-fisica-y-del-deporte/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
"POINT (717130 4251418)","3","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00101",Alicante,Alacant,"717130","4251418","4310483","Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas por la UA","Màster Universitari en Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyament d'Idiomes per la UA","3",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/masteres/profesorado-de-educacion-secundaria-obligatoria-y-bachillerato-formacion-profesional-y-ensenyanza-de-idiomas/,https://web.ua.es/va/masteres/profesorado-de-educacion-secundaria-obligatoria-y-bachillerato-formacion-profesional-y-ensenyanza-de-idiomas/,Pública,No,Pública,No,,,,,MU,Universitario,Universitari
"POINT (717130 4251418)","4","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00101",Alicante,Alacant,"717130","4251418","2502200",Grado en Maestro en Educación Infantil por la Universidad de Alicante,Grau en Mestre en Educació Infantil per la Universitat d'Alacant,"4",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-maestro-en-educacion-infantil/,https://web.ua.es/va/grados/grado-en-maestro-en-educacion-infantil/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
"POINT (719398 4286192)","5","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00103",Alcoy,Alcoi,"719398","4286192","2502200",Grado en Maestro en Educación Infantil por la Universidad de Alicante,Grau en Mestre en Educació Infantil per la Universitat d'Alacant,"4",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","009","009",Alcoi/Alcoy,Alacant/Alicante,Alcoy,Alcoi,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-maestro-en-educacion-infantil/,https://web.ua.es/va/grados/grado-en-maestro-en-educacion-infantil/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
"POINT (717130 4251418)","6","001",Universitat d'Alacant,Universitat d'Alacant,"03009464",Facultad de Educación,Facultat d'Educació,"00101",Alicante,Alacant,"717130","4251418","2502201",Grado en Maestro en Educación Primaria por la Universidad de Alicante,Grau en Mestre en Educació Primària per la Universitat d'Alacant,"4",Ciencias Sociales y Jurídicas,Ciències Socials i Jurídiques,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-maestro-en-educacion-primaria/,https://web.ua.es/va/grados/grado-en-maestro-en-educacion-primaria/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
"POINT (717130 4251418)","7","001",Universitat d'Alacant,Universitat d'Alacant,"03009579",Facultad de Filosofía y Letras,Facultat de Filosofia i Lletres,"00101",Alicante,Alacant,"717130","4251418","4311949",Máster Universitario en Inglés y Español para Fines Específicos,Màster Universitari en Inglés i Español per a Finalitats Específiques per la UA,"1",Arte y Humanidades,Art i Humanitats,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/masteres/ingles-y-espanol-para-fines-especificos/,https://web.ua.es/va/masteres/ingles-y-espanol-para-fines-especificos/,Pública,No,Pública,No,,,,,MU,Universitario,Universitari
"POINT (717130 4251418)","8","001",Universitat d'Alacant,Universitat d'Alacant,"03009579",Facultad de Filosofía y Letras,Facultat de Filosofia i Lletres,"00101",Alicante,Alacant,"717130","4251418","4314602",Máster Universitario en Historia e Identidades en el Mediterráneo Occidental (siglos XV-XIX) por la UA,Màster Universitari en Història i Identitats en el Mediterrani Occidental (segles XV-XIX) per la UA,"1",Arte y Humanidades,Art i Humanitats,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio semipresencial,Estudi semipresencial,https://web.ua.es/es/masteres/historia-e-identidades-en-el-mediterraneo-occidental-s-xv-xix/,https://web.ua.es/va/masteres/historia-e-identidades-en-el-mediterraneo-occidental-s-xv-xix/,Pública,No,Pública,No,,,,,MU,Universitario,Universitari
"POINT (717130 4251418)","9","001",Universitat d'Alacant,Universitat d'Alacant,"03009579",Facultad de Filosofía y Letras,Facultat de Filosofia i Lletres,"00101",Alicante,Alacant,"717130","4251418","2502406",Grado en Español: Lengua y Literaturas por la Universidad de Alicante,Grau en Espanyol: Llengua y Literatures per la Universitat d'Alacant,"1",Arte y Humanidades,Art i Humanitats,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-espanol-lengua-y-literaturas/,https://web.ua.es/va/grados/grado-en-espanol-lengua-y-literaturas/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
"POINT (717130 4251418)","10","001",Universitat d'Alacant,Universitat d'Alacant,"03009579",Facultad de Filosofía y Letras,Facultat de Filosofia i Lletres,"00101",Alicante,Alacant,"717130","4251418","2502415",Grado en Estudios Ingleses por la Universidad de Alicante,Grau en Estudis Anglesos per la Universitat d'Alacant,"1",Arte y Humanidades,Art i Humanitats,"03","03","122","122",Sant Vicent del Raspeig/San Vicente del Raspeig,Alacant/Alicante,San Vicente Del Raspeig,Sant Vicent Del Raspeig,Estudio presencial,Estudi presencial,https://web.ua.es/es/grados/grado-en-estudios-ingleses/,https://web.ua.es/va/grados/grado-en-estudios-ingleses/,Pública,No,Pública,No,,,,,GU,Universitario,Universitari
