ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CONSER;NOM_CONSER;COD_GRADO;DESC_GRADO;CURSO;INSTRUMENTO;MATRICULADOS
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;FLAUTA TRAVESERA;2
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;GUITARRA;2
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;PIANO;5
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;SAXOFÓN;3
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;TROMPETA;2
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;TUBA;1
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;VIOLÍN;2
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;DULZAINA;1
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;FLAUTA TRAVESERA;1
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;GUITARRA;4
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;OBOE;1
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;PIANO;2
2022-2023;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03011343;CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;TROMBÓN;1
