ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CENTRO;NOM_CENTRO;COD_FAMILIA;NOM_FAMILIA;COD_GRADO;NOM_GRADO;COD_CICLO;NOM_CICLO;COD_CURSO;CURSO;COD_TURNO;NOM_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;FPB;FP BÁSICA;96210A;SERVICIOS ADMINISTRATIVOS;1CFB;PRIMERO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;FPB;FP BÁSICA;96210A;SERVICIOS ADMINISTRATIVOS;1CFB;PRIMERO;1;DIURNO;1;14
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;FPB;FP BÁSICA;96210A;SERVICIOS ADMINISTRATIVOS;2CFB;SEGUNDO;1;DIURNO;1;9
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;GM;GRADO MEDIO;472103;GESTIÓN ADMINISTRATIVA (LOE);1CFM;PRIMERO;1;DIURNO;1;24
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;GM;GRADO MEDIO;472103;GESTIÓN ADMINISTRATIVA (LOE);2CFM;SEGUNDO;1;DIURNO;1;15
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;GS;GRADO SUPERIOR;441104;ADMINISTRACIÓN Y FINANZAS (LOE);1CFS;PRIMERO;1;DIURNO;1;26
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;GS;GRADO SUPERIOR;441104;ADMINISTRACIÓN Y FINANZAS (LOE);2CFS;SEGUNDO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03005;ALBATERA;03013698;IES ANTONIO SERNA SERNA;001;ADMINISTRACIÓN Y GESTIÓN;GS;GRADO SUPERIOR;441104;ADMINISTRACIÓN Y FINANZAS (LOE);2CFS;SEGUNDO;1;DIURNO;1;20
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000394;IES PARE VITÒRIA;057;QUÍMICA;GM;GRADO MEDIO;929103;OPERACIONES DE LABORATORIO;1CFM;PRIMERO;2;VESPERTINO;1;31
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000394;IES PARE VITÒRIA;057;QUÍMICA;GM;GRADO MEDIO;929103;OPERACIONES DE LABORATORIO;2CFM;SEGUNDO;-1;OTROS;1;1
