CURSO_ACAD;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_FPA;NOM_FPA;COD_PROGRAMA;DESC_PROGRAMA;COD_NIVEL;DESC_NIVEL;COD_TURNO;DESC_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0010;CICLO I;A0011;NIVEL 1;2;VESPERTINO;1;10
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0010;CICLO I;A0012;NIVEL 2;2;VESPERTINO;1;18
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0010;CICLO I;A0014;NIVEL 3;1;DIURNO;1;2
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0010;CICLO I;A0014;NIVEL 3;2;VESPERTINO;1;30
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0022;GES 1;1;DIURNO;1;27
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0022;GES 1;2;VESPERTINO;2;10
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0022;GES 1;3;NOCTURNO;2;7
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0024;GES 2;-1;OTROS;1;1
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0024;GES 2;1;DIURNO;2;42
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0024;GES 2;2;VESPERTINO;2;5
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0024;GES 2;3;NOCTURNO;3;25
2019-2020;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03010855;CENTRE PÚBLIC FPA OROSIA SILVESTRE;A0020;CICLO II;A0028;GES 2 - SEMIPRESENCIAL;2;VESPERTINO;1;14
