ANYO_ACADEMICO;COD_CONSER;COD_GRADO;COD_MUN;COD_PROV;CURSO;DESC_GRADO;ESPECIALIDAD;MATRICULADOS;NOM_CONSER;NOM_MUN;NOM_PROV
2022-2023;3013042;E;3009;3;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;7;CENTRE ELEMENTAL DE DANSA INMA CORTÉS;ALCOI/ALCOY;ALICANTE/ALACANT
2022-2023;3012153;E;3014;3;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;25;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;ALACANT/ALICANTE;ALICANTE/ALACANT
2022-2023;3011495;E;3122;3;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;10;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;ALICANTE/ALACANT
2022-2023;12007905;E;12040;12;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;2;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;CASTELLÓ DE LA PLANA;CASTELLÓN/CASTELLÓ
2022-2023;12008338;P;12040;12;3º ENSEÑANZA PROFESIONAL DANZA;ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;7;CONSERVATORI PROFESSIONAL DE DANSA;CASTELLÓ DE LA PLANA;CASTELLÓN/CASTELLÓ
2022-2023;12008338;P;12040;12;6º ENSEÑANZA PROFESIONAL DANZA;ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;2;CONSERVATORI PROFESSIONAL DE DANSA;CASTELLÓ DE LA PLANA;CASTELLÓN/CASTELLÓ
2022-2023;46020467;P;46029;46;2º ENSEÑANZA PROFESIONAL DANZA;ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;8;CENTRE ENS. PROFESSIONALS DE DANSA JUAN BAUTISTA CABANILLES;ALGEMESÍ;VALENCIA/VALÈNCIA
2022-2023;46024539;E;46131;46;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;7;CENTRE ELEMENTAL DE DANSA ESCUELA TALLER DE DANZA;GANDIA;VALENCIA/VALÈNCIA
2022-2023;46016971;P;46250;46;6º ENSEÑANZA PROFESIONAL DANZA;ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;8;CENTRE ENS. PROFESSIONALS DE DANSA MARI CRUZ ALCALÁ;VALÈNCIA;VALENCIA/VALÈNCIA
2022-2023;46017316;E;46250;46;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;10;CENTRE ENS. PROFESSIONALS DE DANSA VALENCIÀ;VALÈNCIA;VALENCIA/VALÈNCIA
