ANYO_ACADEMICO;COD_PROV;NOM_PROV;NOM_MUN;NOM_CONSER;COD_GRADO;ESPECIALIDAD;MATRICULADOS
2022-2023;3;ALICANTE/ALACANT;ALCOI/ALCOY;CENTRE ELEMENTAL DE DANSA INMA CORTÉS;E;ENSEÑANZA ELEMENTAL DANZA;7
2022-2023;3;ALICANTE/ALACANT;ALACANT/ALICANTE;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;E;ENSEÑANZA ELEMENTAL DANZA;25
2022-2023;3;ALICANTE/ALACANT;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;E;ENSEÑANZA ELEMENTAL DANZA;10
2022-2023;12;CASTELLÓN/CASTELLÓ;CASTELLÓ DE LA PLANA;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;E;ENSEÑANZA ELEMENTAL DANZA;2
2022-2023;12;CASTELLÓN/CASTELLÓ;CASTELLÓ DE LA PLANA;CONSERVATORI PROFESSIONAL DE DANSA;P;DANZA CLÁSICA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;CASTELLÓ DE LA PLANA;CONSERVATORI PROFESSIONAL DE DANSA;P;DANZA CONTEMPORÁNEA;2
2022-2023;46;VALENCIA/VALÈNCIA;ALGEMESÍ;CENTRE ENS. PROFESSIONALS DE DANSA JUAN BAUTISTA CABANILLES;P;DANZA CLÁSICA;8
2022-2023;46;VALENCIA/VALÈNCIA;GANDIA;CENTRE ELEMENTAL DE DANSA ESCUELA TALLER DE DANZA;E;ENSEÑANZA ELEMENTAL DANZA;7
2022-2023;46;VALENCIA/VALÈNCIA;VALÈNCIA;CENTRE ENS. PROFESSIONALS DE DANSA MARI CRUZ ALCALÁ;P;DANZA CLÁSICA;8
2022-2023;46;VALENCIA/VALÈNCIA;VALÈNCIA;CENTRE ENS. PROFESSIONALS DE DANSA VALENCIÀ;E;ENSEÑANZA ELEMENTAL DANZA;10
